Date,Open,High,Low,Close,Volume
5/1/2023 16:00:00,499.15,500.05,488.8,493.59,2203182
5/2/2023 16:00:00,495,495.68,489.81,494.81,1940805
5/3/2023 16:00:00,496.6,498.78,489.66,490.06,1426432
5/4/2023 16:00:00,488.94,490.91,485.93,490.34,1487048
5/5/2023 16:00:00,493.2,499.4,492.98,499.06,1709239
5/8/2023 16:00:00,497.37,500.25,495.7,499.06,1015210
5/9/2023 16:00:00,496.96,501.74,496.39,500.79,1571815
5/10/2023 16:00:00,501.95,504.97,495.1,499.66,1257622
5/11/2023 16:00:00,499.51,503,497.55,501.89,1046730
5/12/2023 16:00:00,503.17,506.03,501.2,504.07,1472794
5/15/2023 16:00:00,504.01,505,498.86,502.04,1135682
5/16/2023 16:00:00,500,500.29,494.3,496.15,1230357
5/17/2023 16:00:00,498,498.01,491.9,495,2069473
5/18/2023 16:00:00,495,498.6,494.08,498.1,2298859
5/19/2023 16:00:00,499.39,499.39,493.92,496.52,1635036
5/22/2023 16:00:00,497,497,488.54,491.87,1943758
5/23/2023 16:00:00,487.17,487.17,482.97,484.87,1800161
5/24/2023 16:00:00,487.25,487.25,480.91,482.76,1600596
5/25/2023 16:00:00,480.21,488.54,476.75,486.55,3421937
5/26/2023 16:00:00,485.65,510.75,484.12,507.26,5302638
5/30/2023 16:00:00,509.79,514.79,501.59,508.03,2544804
5/31/2023 16:00:00,508.86,513.87,504.95,511.56,3320765
6/1/2023 16:00:00,509.33,513.74,502.1,512.6,2407734
6/2/2023 16:00:00,510.32,518.5,509.4,512.59,2284798
6/5/2023 16:00:00,512.59,518.92,512.02,518.25,2023528
6/6/2023 16:00:00,518.25,518.63,512.76,516.26,1410270
6/7/2023 16:00:00,514.51,519.29,510.57,511.23,1784661
6/8/2023 16:00:00,512.5,520.29,512.5,520.09,1530979
6/9/2023 16:00:00,518.19,522.06,515.5,517.28,1287649
6/12/2023 16:00:00,517.28,521.27,516,520.97,1405065
6/13/2023 16:00:00,522.02,522.95,517.91,522.02,1204672
6/14/2023 16:00:00,525,527.85,523.14,527.2,1841361
6/15/2023 16:00:00,529,531.26,526.66,529.18,1871610
6/16/2023 16:00:00,530.1,530.42,522.63,523.65,3147777
6/20/2023 16:00:00,521.95,522.9,518.14,519.7,1684741
6/21/2023 16:00:00,517.91,521.64,516.54,519.62,1273579
6/22/2023 16:00:00,520.69,524.68,519.68,524.2,1114175
6/23/2023 16:00:00,523.13,525.4,519.34,524.44,1434348
6/26/2023 16:00:00,524.4,524.87,521.26,523.42,1278456
6/27/2023 16:00:00,522.65,532.41,522.1,530.33,1673558
6/28/2023 16:00:00,528.98,533.49,528.61,532.8,1245157
6/29/2023 16:00:00,530.58,532.45,528.95,531.69,1121756
6/30/2023 16:00:00,534.17,539.56,533.63,538.38,2222116
7/3/2023 13:05:00,537.25,541.08,534.34,541.04,951399
7/5/2023 16:00:00,541.22,546.05,537.5,541.13,1632415
7/6/2023 16:00:00,538.88,540.3,536.58,537.37,1752931
7/7/2023 16:00:00,533.89,536.46,524.63,525.05,2740555
7/10/2023 16:00:00,525.06,531.15,525.06,527.01,1955628
7/11/2023 16:00:00,527.5,530.76,526.15,529.64,1262318
7/12/2023 16:00:00,532,540.11,531.11,538,1960548
7/13/2023 16:00:00,537.8,539.12,532.79,538.45,1647200
7/14/2023 16:00:00,538.71,546.86,538.1,546.7,1828704
7/17/2023 16:00:00,546.18,554.21,546.1,552.96,1910253
7/18/2023 16:00:00,552.67,555,549.39,553.59,1779168
7/19/2023 16:00:00,554.48,555.89,552.02,554.11,1261093
7/20/2023 16:00:00,553.81,561.07,553.71,556.96,1732780
7/21/2023 16:00:00,559.17,562.05,557.45,557.86,5264337
7/24/2023 16:00:00,558,566.57,555.88,563.93,2087252
7/25/2023 16:00:00,566.77,567.55,564.3,565.19,1602739
7/26/2023 16:00:00,565.51,568.03,563.42,566.17,1306402
7/27/2023 16:00:00,567.72,571.16,560.6,561.83,1485269
7/28/2023 16:00:00,564.58,567.81,562.62,563.32,1371583
7/31/2023 16:00:00,563,564.29,559.05,560.67,1366148
8/1/2023 16:00:00,560.63,562.88,554.54,555.47,1446026
8/2/2023 16:00:00,552.26,556.63,551.02,552.35,1636012
8/3/2023 16:00:00,553.53,560.35,552.22,557.69,1464010
8/4/2023 16:00:00,561.07,561.29,551.41,552.04,1141952
8/7/2023 16:00:00,554.99,559.56,554.99,558.41,1015378
8/8/2023 16:00:00,558,558.9,551.84,556.12,1020524
8/9/2023 16:00:00,557.98,562.09,556.81,559.7,1471780
8/10/2023 16:00:00,563.2,569.21,560.7,561.49,1107233
8/11/2023 16:00:00,560.35,565,559.03,562.96,1043176
8/14/2023 16:00:00,564.77,567.71,560.44,561.47,1247567
8/15/2023 16:00:00,561.05,565.16,558.2,558.51,1124458
8/16/2023 16:00:00,561.7,564.95,558.72,559.05,1340290
8/17/2023 16:00:00,559.47,560.42,545.08,547.11,1941923
8/18/2023 16:00:00,546.92,549.47,543.11,544.94,1878090
8/21/2023 16:00:00,543.86,545.15,536.3,543.21,2076349
8/22/2023 16:00:00,541.96,541.96,537.5,538.37,1286150
8/23/2023 16:00:00,538.96,541.17,536.24,540.86,1295812
8/24/2023 16:00:00,539.29,541,530.82,531.71,1587505
8/25/2023 16:00:00,532.91,535.79,530.56,534.01,1511474
8/28/2023 16:00:00,536,537.04,533.12,536.19,945776
8/29/2023 16:00:00,534.34,543.07,534.34,542.77,1468521
8/30/2023 16:00:00,542.73,544.42,539.31,542.26,1292815
8/31/2023 16:00:00,540,552.2,540,549.28,2086507
9/1/2023 16:00:00,553.07,553.48,540.64,544.25,1437729
9/5/2023 16:00:00,545.73,549.19,544,544.73,1714296
9/6/2023 16:00:00,541.72,548.68,540.18,546.69,1476602
9/7/2023 16:00:00,548.65,550.99,544.29,548.62,1340191
9/8/2023 16:00:00,549.07,552.38,548.1,551.19,1077496
9/11/2023 16:00:00,552.81,559.39,551.86,558.78,1388639
9/12/2023 16:00:00,559.28,560.4,556.18,558.79,1055620
9/13/2023 16:00:00,558.3,560.44,554.62,559.76,1162710
9/14/2023 16:00:00,564.81,566.7,560.25,564.77,1257325
9/15/2023 16:00:00,565.33,565.51,555.54,556.36,2945317
9/18/2023 16:00:00,558.18,564.19,557.47,562.72,1003221
9/19/2023 16:00:00,561.64,565.33,559.43,564.35,1145422
9/20/2023 16:00:00,564.35,569.22,562.66,563.83,1312150
9/21/2023 16:00:00,564.07,564.57,554.28,555.08,1688396
9/22/2023 16:00:00,555.16,562.97,554.78,558.59,1527941
9/25/2023 16:00:00,559.49,561.27,554.74,558.62,1313326
9/26/2023 16:00:00,559.15,561.37,552,552.96,2425106
9/27/2023 16:00:00,547.38,566.5,544.73,563.53,4591429
9/28/2023 16:00:00,564.07,572.18,564.07,568.63,2192427
9/29/2023 16:00:00,570,570.99,560.7,564.96,1887507
10/2/2023 16:00:00,567.91,571.74,564,571.31,1831713
10/3/2023 16:00:00,571.1,576.19,563.01,565.04,2007373
10/4/2023 16:00:00,569.49,572.61,563.76,571.8,1798756
10/5/2023 16:00:00,572.17,574.75,564.36,569.52,1579732
10/6/2023 16:00:00,566.09,566.95,542.63,557.53,4246692
10/9/2023 16:00:00,555,559.75,549.78,558.97,1781511
10/10/2023 16:00:00,559.92,566.95,557.24,562.09,2176975
10/11/2023 16:00:00,564.85,566.5,560.2,565.52,1449996
10/12/2023 16:00:00,568.05,569.14,562.38,563.78,1457979
10/13/2023 16:00:00,563.85,567.44,561.98,566.84,1244163
10/16/2023 16:00:00,569.69,574.1,568.52,572.24,1428517
10/17/2023 16:00:00,571.94,576.06,570.71,574.34,1404801
10/18/2023 16:00:00,573.92,577.3,572,574.64,1311893
10/19/2023 16:00:00,573.7,575.85,564.11,565.63,2019564
10/20/2023 16:00:00,566.54,566.67,552.01,552.93,2295445
10/23/2023 16:00:00,554.14,556.92,546.63,552.29,1776509
10/24/2023 16:00:00,552.1,555.99,549.33,551.84,1678622
10/25/2023 16:00:00,548.55,553.83,545.61,549.99,1757470
10/26/2023 16:00:00,549.65,554.66,545.53,547.6,1925263
10/27/2023 16:00:00,547.6,548.03,540.23,543.03,1503322
10/30/2023 16:00:00,545.74,556.36,543.64,554.88,1696182
10/31/2023 16:00:00,552.16,554.03,549.06,552.44,1394661
11/1/2023 16:00:00,555,558.44,549.65,556.8,1735315
11/2/2023 16:00:00,556.5,559.51,552.01,555.97,2100573
11/3/2023 16:00:00,557.33,562.99,555.23,560.9,1826753
11/6/2023 16:00:00,560.49,572.65,560.13,569.82,2056898
11/7/2023 16:00:00,572.5,573.89,569.56,571.27,1373229
11/8/2023 16:00:00,572.12,572.99,564.29,567.38,1343554
11/9/2023 16:00:00,569,569,562.01,563.27,1288443
11/10/2023 16:00:00,567.9,577.89,564.94,577.12,1909263
11/13/2023 16:00:00,575,579.95,573.49,578.23,1650942
11/14/2023 16:00:00,581.74,591.55,581.21,590.8,2037639
11/15/2023 16:00:00,593.99,599.89,593.39,596.78,2165104
11/16/2023 16:00:00,586.38,586.59,572.24,578.58,2954653
11/17/2023 16:00:00,578.9,579.92,574.06,577.15,1774272
11/20/2023 16:00:00,577.34,582.32,577.34,580.8,1624460
11/21/2023 16:00:00,582,584.95,577.71,584.3,1173710
11/22/2023 16:00:00,586.85,591.14,586.35,589.08,1068932
11/24/2023 13:05:00,591.02,594.2,590.41,591.36,645766
11/27/2023 16:00:00,592.52,599.94,592.41,594.9,1627378
11/28/2023 16:00:00,593.19,597.42,591.42,594,1286847
11/29/2023 16:00:00,595.2,595.21,587.42,587.86,1319844
11/30/2023 16:00:00,587.83,593.07,582.83,592.74,1755214
12/1/2023 16:00:00,593.28,596.35,590.59,596.25,1475343
12/4/2023 16:00:00,592.15,599.53,591.46,599.08,1624045
12/5/2023 16:00:00,598.53,608.88,597.03,605.35,2349732
12/6/2023 16:00:00,605.5,608.48,603.86,607.43,2234139
12/7/2023 16:00:00,610,612.35,606.35,610.95,1690366
12/8/2023 16:00:00,608.6,613.61,607.73,610.78,1502329
12/11/2023 16:00:00,621.97,625.03,618.76,623.86,2139261
12/12/2023 16:00:00,627.44,629.69,623.21,629.5,2374394
12/13/2023 16:00:00,633.92,642.6,631,642,2436857
12/14/2023 16:00:00,641.18,641.9,630.3,630.78,3839180
12/15/2023 16:00:00,641.5,661.88,640.5,658.82,8807735
12/18/2023 16:00:00,664.5,681.91,661.1,681.24,5733447
12/19/2023 16:00:00,675,680.8,669.12,677.74,3437331
12/20/2023 16:00:00,671.79,674.35,660.8,661,3782659
12/21/2023 16:00:00,665.86,667.34,659.45,665.16,2388448
12/22/2023 16:00:00,668,673.27,666,671.6,1641675
12/26/2023 16:00:00,673.01,675.86,670.78,674.62,1774769
12/27/2023 16:00:00,662.7,668.58,660.4,666.8,1875928
12/28/2023 16:00:00,665.85,666.86,661.59,663.1,1496929
12/29/2023 16:00:00,661,663.19,657.16,660.08,1947516
1/2/2024 16:00:00,655.58,657.8,649.5,650.65,2657689
1/3/2024 16:00:00,651.21,655.45,643.1,644.69,2612563
1/4/2024 16:00:00,642.08,649.9,640.51,648.35,2171077
1/5/2024 16:00:00,656.18,659.65,652.24,656.01,2233451
